Save for Later


134 seconds
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1962,19660601:0900,14.3,24,1.7,24,-2.1,24,-,-,-,D
1962,19660602:0900,14.3,24,4.6,24,-0.6,24,-,-,-,D
1962,19660603:0900,16.2,24,9.1,24,9.1,24,-,-,-,D
1962,19660604:0900,17.5,24,14.4,24,13.7,24,-,-,-,D
1962,19660605:0900,18.1,24,9.7,24,4.9,24,-,-,-,D
1962,19660606:0900,16.9,24,9.6,24,7.6,24,-,-,-,D
1962,19660607:0900,15.1,24,9.1,24,5.7,24,-,-,-,D
1962,19660608:0900,15.1,24,4.1,24,0.7,24,-,-,-,D
1962,19660609:0900,13.8,24,6.2,24,2.4,24,-,-,-,D
1962,19660610:0900,14.9,24,4.9,24,-0.1,24,-,-,-,D
1962,19660611:0900,13.9,24,3.9,24,0.4,24,-,-,-,D
1962,19660612:0900,14.9,24,6.8,24,3.4,24,-,-,-,D
1962,19660613:0900,13.2,24,8.9,24,8.9,24,-,-,-,D
1962,19660614:0900,16.2,24,10.3,24,7.6,24,-,-,-,D
1962,19660615:0900,16.9,24,6.6,24,4.0,24,-,-,-,D
1962,19660616:0900,11.2,24,2.2,24,-1.7,24,-,-,-,D
1962,19660617:0900,12.3,24,2.1,24,-2.1,24,-,-,-,D
1962,19660618:0900,13.8,24,0.3,24,-1.1,24,-,-,-,D
1962,19660619:0900,14.8,24,6.2,24,1.1,24,-,-,-,D
1962,19660620:0900,15.7,24,7.6,24,0.6,24,-,-,-,D
1962,19660621:0900,15.8,24,7.1,24,1.2,24,-,-,-,D
1962,19660622:0900,16.3,24,11.0,24,10.7,24,-,-,-,D
1962,19660623:0900,15.6,24,8.7,24,6.7,24,-,-,-,D
1962,19660624:0900,14.4,24,8.3,24,8.3,24,-,-,-,D
1962,19660625:0900,13.1,24,3.2,24,-1.7,24,-,-,-,D
1962,19660626:0900,11.0,24,1.5,24,-2.6,24,-,-,-,D
1962,19660627:0900,13.5,24,6.2,24,4.8,24,-,-,-,D
1962,19660628:0900,13.7,24,6.8,24,4.9,24,-,-,-,D
1962,19660629:0900,14.9,24,9.1,24,8.2,24,-,-,-,D
1962,19660630:0900,11.7,24,6.7,24,6.1,24,-,-,-,D
1962,19660701:0900,13.2,24,10.0,24,7.6,24,-,-,-,D
1962,19660702:0900,14.6,24,6.1,24,2.3,24,-,-,-,D
1962,19660703:0900,13.9,24,8.4,24,8.3,24,-,-,-,D
1962,19660704:0900,13.2,24,5.1,24,1.5,24,-,-,-,D
1962,19660705:0900,11.6,24,4.6,24,2.5,24,-,-,-,D
1962,19660706:0900,15.1,24,6.3,24,7.0,24,-,-,-,D
1962,19660707:0900,15.1,24,10.7,24,9.4,24,-,-,-,D
1962,19660708:0900,16.3,24,13.3,24,12.8,24,-,-,-,D
1962,19660709:0900,17.0,24,10.3,24,10.2,24,-,-,-,D
1962,19660710:0900,12.9,24,10.2,24,8.9,24,-,-,-,D
1962,19660711:0900,14.2,24,8.7,24,7.6,24,-,-,-,D
1962,19660712:0900,11.6,24,7.2,24,4.7,24,-,-,-,D
1962,19660713:0900,12.0,24,8.2,24,6.7,24,-,-,-,D
1962,19660714:0900,13.8,24,9.1,24,6.7,24,-,-,-,D
1962,19660715:0900,12.9,24,4.8,24,0.7,24,-,-,-,D
1962,19660716:0900,11.9,24,7.1,24,4.9,24,-,-,-,D
1962,19660717:0900,13.1,24,10.1,24,10.1,24,-,-,-,D
1962,19660718:0900,16.1,24,10.3,24,7.3,24,-,-,-,D
1962,19660719:0900,15.1,24,9.6,24,9.1,24,-,-,-,D
1962,19660720:0900,11.8,24,8.0,24,7.1,24,-,-,-,D
1962,19660721:0900,11.6,24,3.3,24,0.8,24,-,-,-,D
1962,19660722:0900,11.3,24,2.6,24,-1.9,24,-,-,-,D
1962,19660723:0900,11.2,24,3.4,24,-1.2,24,-,-,-,D
1962,19660724:0900,12.6,24,4.4,24,2.8,24,-,-,-,D
1962,19660725:0900,12.7,24,3.7,24,-0.8,24,-,-,-,D
1962,19660726:0900,11.6,24,2.8,24,-1.9,24,-,-,-,D
1962,19660727:0900,14.6,24,5.0,24,5.6,24,-,-,-,D
1962,19660728:0900,13.9,24,5.0,24,2.2,24,-,-,-,D
1962,19660729:0900,14.8,24,5.7,24,4.6,24,-,-,-,D
1962,19660730:0900,11.8,24,7.2,24,4.4,24,-,-,-,D
1962,19660731:0900,13.4,24,7.6,24,3.8,24,-,-,-,D
1962,19660801:0900,14.0,24,7.4,24,4.9,24,-,-,-,D
1962,19660802:0900,14.2,24,2.7,24,-2.0,24,-,-,-,D
1962,19660803:0900,13.4,24,2.7,24,-1.2,24,-,-,-,D
1962,19660804:0900,11.4,24,3.6,24,0.7,24,-,-,-,D
1962,19660805:0900,13.1,24,7.9,24,7.9,24,-,-,-,D
1962,19660806:0900,12.9,24,9.8,24,7.8,24,-,-,-,D
1962,19660807:0900,14.9,24,4.8,24,1.1,24,-,-,-,D
1962,19660808:0900,12.2,24,5.6,24,4.6,24,-,-,-,D
1962,19660809:0900,14.8,24,5.6,24,0.6,24,-,-,-,D
1962,19660810:0900,12.1,24,3.5,24,-1.2,24,-,-,-,D
1962,19660811:0900,11.8,24,1.8,24,-3.4,24,-,-,-,D
1962,19660812:0900,12.6,24,2.2,24,-1.7,24,-,-,-,D
1962,19660813:0900,12.3,24,2.6,24,-1.3,24,-,-,-,D
1962,19660814:0900,12.3,24,5.0,24,0.3,24,-,-,-,D
1962,19660815:0900,15.1,24,8.7,24,7.8,24,-,-,-,D
1962,19660816:0900,15.1,24,9.9,24,7.7,24,-,-,-,D
1962,19660817:0900,13.9,24,6.6,24,3.3,24,-,-,-,D
1962,19660818:0900,14.7,24,4.6,24,0.0,24,-,-,-,D
1962,19660819:0900,14.7,24,4.1,24,0.1,24,-,-,-,D
1962,19660820:0900,12.9,24,1.4,24,-2.6,24,-,-,-,D
1962,19660821:0900,13.3,24,2.1,24,-2.1,24,-,-,-,D
1962,19660822:0900,14.0,24,3.2,24,-1.7,24,-,-,-,D
1962,19660823:0900,14.1,24,5.1,24,0.4,24,-,-,-,D
